Locationdesc,Sample_Size,Data_value,Total
Alabama,"1,528",12.9,4849377
Alaska,403,7.4,736732
Arizona,"2,024",10.1,6731484
Arkansas,966,12.8,2966369
California,980,10.3,38802500
Colorado,"1,189",7.3,5355866
Connecticut,880,9.2,3596677
Delaware,653,11.1,935614
District of Columbia,541,8.4,658893
Florida,"1,357",11.2,19893297
Georgia,"1,048",11.6,10097343
Hawaii,775,9.8,1419561
Idaho,578,7.6,1634464
Illinois,625,10.1,12880580
Indiana,"1,653",10.7,6596855
Iowa,"1,000",9.5,3107126
Kansas,"1,768",10.3,2904021
Kentucky,"2,012",12.5,4413457
Louisiana,992,11.3,4649676
Maine,"1,086",9.5,1330089
Maryland,"1,781",10.1,5976407
Massachusetts,"2,053",9.7,6745408
Michigan,"1,127",10.4,9909877
Minnesota,"1,581",8.1,5457173
Mississippi,763,13,2994079
Missouri,"1,125",11.1,6063589
Montana,927,8.8,1023579
Nebraska,"2,627",9.2,1881503
Nevada,456,9.6,2839099
New Hampshire,750,9.2,1326813
New Jersey,"1,619",9.7,8938175
New Mexico,"1,207",11.5,2085572
New York,842,10,19746227
North Carolina,980,10.8,9943964
North Dakota,870,8.6,739482
Ohio,"1,751",11.7,11594163
Oklahoma,"1,322",12,3878051
Oregon,638,9,3970239
Pennsylvania,"1,583",11.2,12787209
Rhode Island,807,9.5,1055173
South Carolina,"1,794",12,4832482
South Dakota,864,9.1,853175
Tennessee,881,13,6549352
Texas,"2,323",11,26956958
Utah,"1,304",7.1,2942902
Vermont,567,7.9,626562
Virginia,"1,203",9.7,8326289
Washington,"1,167",8.9,7061530
West Virginia,"1,001",14.1,1850326
Wisconsin,859,9,5757564
Wyoming,775,8.4,584153
Guam,316,10.8,3548397
Puerto Rico,"1,197",15.7,
All States and DC (median) **,51,10,
"All States, DC and Territories (median) **",53,10.1,
